test_case,n,N,alpha,algorithm,search_worst,search_average,usearch_worst,usearch_average,set_key_worst,set_key_average,delete_key_worst,delete_key_average,set_all_worst,set_all_average,delete_all_worst,delete_all_average
test_2_5.txt,32,106,0.3,Chained,4,2.125,4,1.35417,4,2.35417,5,3.14583,4,2.1875,4,3.03125
test_2_5.txt,32,106,0.3,Linear,3,1.20833,5,1.625,5,1.63542,5,3.02083,3,1.25,5,2.53125
test_2_5.txt,32,106,0.3,Cuckoo,2,1.42708,2,2,10,4.22917,2,1.35417,6,3.46875,2,1.5
test_2_5.txt,32,106,0.3,Coalesced,2,1.15625,2,1.09375,9,1.98958,3,1.33333,3,1.375,3,1.375
test_2_5.txt,32,80,0.4,Chained,3,2.26042,3,1.29167,4,2.22917,4,3.23958,3,2.21875,4,3.125
test_2_5.txt,32,80,0.4,Linear,6,1.40625,10,2.01042,8,1.53125,10,4.54167,5,1.40625,7,2.875
test_2_5.txt,32,80,0.4,Cuckoo,2,1.32292,2,2,6,3.53125,2,1.52083,6,3.3125,2,1.40625
test_2_5.txt,32,80,0.4,Coalesced,3,1.23958,3,1.09375,9,2.08333,4,1.4375,4,1.46875,5,1.46875
test_2_5.txt,32,64,0.5,Chained,4,2.38542,4,1.51042,5,2.47917,5,3.29167,4,2.34375,4,3.15625
test_2_5.txt,32,64,0.5,Linear,7,1.52083,10,2.82292,10,2.20833,10,4.58333,5,1.53125,8,2.8125
test_2_5.txt,32,64,0.5,Cuckoo,2,1.59375,2,2,10,4.19792,2,1.55208,10,3.875,2,1.53125
test_2_5.txt,32,64,0.5,Coalesced,2,1.125,2,1.11458,8,2.21875,3,1.45833,3,1.375,3,1.375
test_2_5.txt,32,53,0.6,Chained,4,2.40625,4,1.59375,5,2.69792,5,3.40625,4,2.46875,4,3.125
test_2_5.txt,32,53,0.6,Linear,8,2.08333,10,3.125,10,3.375,10,5.30208,7,2.125,10,3.5625
test_2_5.txt,32,53,0.6,Cuckoo,2,1.44792,2,2,8,3.64583,2,1.5625,117,7.625,2,1.53125
test_2_5.txt,32,53,0.6,Coalesced,3,1.29167,3,1.09375,12,2.77083,4,1.45833,4,1.5625,5,1.5625
test_2_5.txt,32,45,0.7,Chained,4,2.29167,4,1.5625,5,2.72917,5,3.35417,4,2.3125,4,3.09375
test_2_5.txt,32,45,0.7,Linear,17,2.59375,23,5.5625,21,5.875,23,9.70833,14,2.40625,21,4.1875
test_2_5.txt,32,45,0.7,Cuckoo,2,1.41667,2,2,5,3.39583,2,1.45833,102,6.78125,2,1.40625
test_2_5.txt,32,45,0.7,Coalesced,3,1.20833,3,1.27083,15,7.60417,4,1.51042,4,1.5625,5,1.5625
test_2_5.txt,32,40,0.8,Chained,4,2.3125,3,1.72917,5,2.64583,5,3.33333,4,2.28125,4,3.125
test_2_5.txt,32,40,0.8,Linear,10,2.10417,12,4.71875,14,4.6875,14,7.40625,9,1.8125,10,3.625
test_2_5.txt,32,40,0.8,Cuckoo,2,1.32292,2,2,6,3.53125,2,1.52083,89,6.1875,2,1.40625
test_2_5.txt,32,40,0.8,Coalesced,3,1.40625,3,1.4375,23,5.53125,4,1.75,7,2.15625,5,1.90625
test_2_5.txt,32,35,0.9,Chained,5,2.44792,4,1.76042,6,2.98958,6,3.46875,5,2.5,6,3.1875
test_2_5.txt,32,35,0.9,Linear,26,3.5,33,17.2396,32,13.5312,33,19.9688,27,3.5,31,5.875
test_2_5.txt,32,35,0.9,Cuckoo,2,1.375,2,2,5,3.28125,2,1.35417,127,10.2812,2,1.40625
test_2_5.txt,32,35,0.9,Coalesced,3,1.32292,3,1.23958,27,10.1146,4,1.73958,9,2.21875,5,1.75
test_2_5.txt,32,32,1,Chained,5,2.59375,5,1.9375,6,2.85417,6,3.51042,5,2.625,5,3.21875
test_2_5.txt,32,32,1,Linear,30,3.57292,32,32,32,15.7188,59,34.4792,25,3.875,35,6.65625
test_2_5.txt,32,32,1,Cuckoo,2,1.59375,2,2,10,4.19792,2,1.54167,81,7.3125,2,1.53125
test_2_5.txt,32,32,1,Coalesced,3,1.30208,2,1.14583,14,2.64583,4,1.83333,9,2.78125,4,1.75
test_2_5.txt,32,21,1.5,Chained,4,2.60417,4,2.54167,5,3.47917,5,3.82292,4,2.65625,4,3.15625
test_2_5.txt,32,21,1.5,Linear,7,1.33333,12,4.28125,12,3.70833,12,5.70833,48,3.9375,9,3.125
test_2_5.txt,32,21,1.5,Cuckoo,2,1.4375,2,2,9,3.54167,2,1.41667,101,9,2,1.5
test_2_5.txt,32,21,1.5,Coalesced,3,1.73958,3,1.48958,27,8.77083,4,1.95833,6,3.09375,5,2.09375
test_2_5.txt,32,16,2,Chained,6,3.35417,6,2.84375,7,3.58333,7,4.22917,6,3.25,6,3.5
test_2_5.txt,32,16,2,Linear,30,3.59375,32,32,32,15.7188,59,34.4896,40,6.125,35,6.65625
test_2_5.txt,32,16,2,Cuckoo,2,1.59375,2,2,10,4.19792,2,1.54167,81,9.09375,2,1.53125
test_2_5.txt,32,16,2,Coalesced,3,1.21875,2,1.11458,11,2.26042,3,1.4375,8,3.03125,3,1.5
test_2_5.txt,32,12,2.5,Chained,7,3.61458,7,3.71875,8,4.69792,8,4.58333,7,3.625,7,3.65625
test_2_5.txt,32,12,2.5,Linear,8,1.8125,9,3.39583,9,2.98958,9,5.42708,59,5.59375,7,3.1875
test_2_5.txt,32,12,2.5,Cuckoo,2,1.41667,2,2,8,3.52083,2,1.52083,106,10.3438,2,1.5
test_2_5.txt,32,12,2.5,Coalesced,3,1.30208,2,1.11458,15,4.45833,4,1.73958,7,3.03125,4,1.53125
test_2_5.txt,32,10,3,Chained,6,3.29167,6,3.97917,7,4.90625,7,4.42708,6,3.28125,6,3.375
